Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth
2020,1,Alabama,All,All,All,Aged,All,All,321952,410710,16321,0.0507
2020,1,Alabama,All,All,All,All,0-64,All,68081,93955,5254,0.0772
2020,1,Alabama,All,All,All,All,65-74,All,163291,217543,8652,0.053
2020,1,Alabama,All,All,All,All,75-84,All,113008,136957,5712,0.0505
2020,1,Alabama,All,All,All,All,85 and over,All,49169,59755,2178,0.0443
2020,1,Alabama,All,All,All,All,All,All,393549,508209,21796,0.0554
2020,1,Alabama,All,All,All,All,All,Rural,118360,152909,5760,0.0487
2020,1,Alabama,All,All,All,All,All,Unknown,,,,
2020,1,Alabama,All,All,All,All,All,Urban,274137,353936,15977,0.0583
2020,1,Alabama,All,All,All,Disabled,All,All,63806,89556,5000,0.0784
2020,1,Alabama,All,All,All,ESRD,All,All,7791,7944,475,0.061
2020,1,Alabama,All,All,Female,All,All,All,224833,279224,13561,0.0603
2020,1,Alabama,All,All,Male,All,All,All,168716,228985,8235,0.0488
2020,1,Alabama,All,American Indian/Alaska Native,All,All,All,All,380,491,25,0.0658
2020,1,Alabama,All,Asian/Pacific Islander,All,All,All,All,1882,2940,79,0.042
2020,1,Alabama,All,Black/African American,All,All,All,All,66960,93186,3703,0.0553
2020,1,Alabama,All,Hispanic,All,All,All,All,3031,4441,151,0.0498
2020,1,Alabama,All,Non-Hispanic White,All,All,All,All,316866,400990,17605,0.0556
2020,1,Alabama,All,Other/Unknown,All,All,All,All,,,,
2020,1,Alabama,Medicare & Medicaid,All,All,All,All,All,80089,100779,4754,0.0594
2020,1,Alabama,Medicare Only,All,All,All,All,All,313460,407430,17042,0.0544
2020,1,Alaska,All,All,All,Aged,All,All,47101,77507,3178,0.0675
2020,1,Alaska,All,All,All,All,0-64,All,7146,10495,944,0.1321
2020,1,Alaska,All,All,All,All,65-74,All,27660,48206,1929,0.0697
2020,1,Alaska,All,All,All,All,75-84,All,14979,22758,976,0.0652
2020,1,Alaska,All,All,All,All,85 and over,All,4784,6881,290,0.0606
2020,1,Alaska,All,All,All,All,All,All,54569,88340,4139,0.0758
2020,1,Alaska,All,All,All,All,All,Rural,25528,41813,1992,0.078
2020,1,Alaska,All,All,All,All,All,Unknown,,,,
2020,1,Alaska,All,All,All,All,All,Urban,27070,43092,2020,0.0746
2020,1,Alaska,All,All,All,Disabled,All,All,6818,10152,905,0.1327
2020,1,Alaska,All,All,All,ESRD,All,All,650,681,56,0.0862
2020,1,Alaska,All,All,Female,All,All,All,29361,44543,2367,0.0806
2020,1,Alaska,All,All,Male,All,All,All,25208,43797,1772,0.0703
2020,1,Alaska,All,American Indian/Alaska Native,All,All,All,All,7635,11115,811,0.1062
2020,1,Alaska,All,Asian/Pacific Islander,All,All,All,All,2092,3695,106,0.0507
2020,1,Alaska,All,Black/African American,All,All,All,All,1378,2260,121,0.0878
2020,1,Alaska,All,Hispanic,All,All,All,All,1361,2408,102,0.0749
2020,1,Alaska,All,Non-Hispanic White,All,All,All,All,40342,65661,2880,0.0714
2020,1,Alaska,All,Other/Unknown,All,All,All,All,,,,
2020,1,Alaska,Medicare & Medicaid,All,All,All,All,All,13634,19365,1456,0.1068
2020,1,Alaska,Medicare Only,All,All,All,All,All,40935,68975,2683,0.0655
2020,1,Arizona,All,All,All,Aged,All,All,468471,622770,26713,0.057
2020,1,Arizona,All,All,All,All,0-64,All,36383,52316,4251,0.1168
2020,1,Arizona,All,All,All,All,65-74,All,248141,350231,14677,0.0591
2020,1,Arizona,All,All,All,All,75-84,All,164539,204405,9300,0.0565
2020,1,Arizona,All,All,All,All,85 and over,All,59569,71946,3134,0.0526
2020,1,Arizona,All,All,All,All,All,All,508632,678898,31362,0.0617
2020,1,Arizona,All,All,All,All,All,Rural,73927,106163,3526,0.0477
2020,1,Arizona,All,All,All,All,All,Unknown,,,,
2020,1,Arizona,All,All,All,All,All,Urban,433659,571165,27802,0.0641
2020,1,Arizona,All,All,All,Disabled,All,All,33078,48911,3924,0.1186
2020,1,Arizona,All,All,All,ESRD,All,All,7083,7217,725,0.1024
2020,1,Arizona,All,All,Female,All,All,All,281321,361467,18437,0.0655
2020,1,Arizona,All,All,Male,All,All,All,227311,317431,12925,0.0569
2020,1,Arizona,All,American Indian/Alaska Native,All,All,All,All,19419,24506,943,0.0486
2020,1,Arizona,All,Asian/Pacific Islander,All,All,All,All,7230,10752,362,0.0501
2020,1,Arizona,All,Black/African American,All,All,All,All,11231,16004,940,0.0837
2020,1,Arizona,All,Hispanic,All,All,All,All,36906,56743,2434,0.066
2020,1,Arizona,All,Non-Hispanic White,All,All,All,All,420519,552414,25902,0.0616
2020,1,Arizona,All,Other/Unknown,All,All,All,All,,,,
2020,1,Arizona,Medicare & Medicaid,All,All,All,All,All,57454,80173,5140,0.0895
2020,1,Arizona,Medicare Only,All,All,All,All,All,451178,598724,26222,0.0581
